ANIO,descripcion,DEF_AMENABLES,GRUPO
2016,Anomalías cardiovasculares congénitas,873.00,Congénito
2016,Úlcera péptica,212.00,Digestivo
2016,Colelitiasis y colecistitis,156.00,Digestivo
2016,Hernia abdominal,118.00,Digestivo
2016,Apendicitis,55.00,Digestivo
2016,Diabetes mellitus,507.00,Endócrino/Metabólico
2016,Enfermedades del tiroides,57.00,Endócrino/Metabólico
2016,Accidentes durante atención médica,1011.00,Iatrogénico
2016,Septicemia,4191.00,Infecciosas
2016,Tuberculosis y secuelas,497.00,Infecciosas
2016,Infecciones intestinales,93.00,Infecciosas
2016,Tos convulsa,23.00,Infecciosas
2016,Tétanos,2.00,Infecciosas
2016,Muertes perinatales,3485.00,Materno-Perinatal
2016,Muerte materna,285.00,Materno-Perinatal
2016,Ca. colon y recto,4207.00,Neoplasias
2016,Ca. mama,3761.00,Neoplasias
2016,Ca. cuello uterino,1051.00,Neoplasias
2016,Leucemia,483.00,Neoplasias
2016,Ca. cuerpo uterino,194.00,Neoplasias
2016,Ca. testículo,193.00,Neoplasias
2016,Enfermedad de Hodgkin,166.00,Neoplasias
2016,Ca. piel (no melanoma),154.00,Neoplasias
2016,Epilepsia,292.00,Neurológico
2016,Neumonía,9968.00,Respiratorio
2016,Enf. respiratorias excl. neumonía e influenza (1-14),176.00,Respiratorio
2016,Influenza,35.00,Respiratorio
2016,Nefritis y nefrosis,3286.00,Urogenital
2016,Hiperplasia benigna de próstata,11.00,Urogenital
2017,Enfermedad cerebrovascular,8196.00,Cardiovascular
2017,Cardiopatía isquémica (50%),5116.50,Cardiovascular
2017,Hipertensión arterial,2256.00,Cardiovascular
2017,Enf. reumática cardíaca crónica,53.00,Cardiovascular
2017,Anomalías cardiovasculares congénitas,863.00,Congénito
2017,Úlcera péptica,161.00,Digestivo
2017,Colelitiasis y colecistitis,150.00,Digestivo
2017,Hernia abdominal,137.00,Digestivo
2017,Apendicitis,35.00,Digestivo
2017,Diabetes mellitus,476.00,Endócrino/Metabólico
2017,Enfermedades del tiroides,44.00,Endócrino/Metabólico
2017,Accidentes durante atención médica,945.00,Iatrogénico
2017,Septicemia,4065.00,Infecciosas
2017,Tuberculosis y secuelas,454.00,Infecciosas
2017,Infecciones intestinales,71.00,Infecciosas
2017,Tos convulsa,5.00,Infecciosas
2017,Tétanos,1.00,Infecciosas
2017,Muertes perinatales,3381.00,Materno-Perinatal
2017,Muerte materna,245.00,Materno-Perinatal
2017,Ca. colon y recto,4257.00,Neoplasias
2017,Ca. mama,3859.00,Neoplasias
2017,Ca. cuello uterino,1088.00,Neoplasias
2017,Leucemia,492.00,Neoplasias
2017,Ca. testículo,185.00,Neoplasias
2017,Ca. piel (no melanoma),168.00,Neoplasias
2017,Ca. cuerpo uterino,167.00,Neoplasias
2017,Enfermedad de Hodgkin,152.00,Neoplasias
2017,Epilepsia,281.00,Neurológico
2017,Neumonía,8873.00,Respiratorio
2017,Enf. respiratorias excl. neumonía e influenza (1-14),151.00,Respiratorio
2017,Influenza,12.00,Respiratorio
2017,Nefritis y nefrosis,3262.00,Urogenital
2017,Hiperplasia benigna de próstata,10.00,Urogenital
2018,Enfermedad cerebrovascular,8136.00,Cardiovascular
2018,Cardiopatía isquémica (50%),5057.00,Cardiovascular
2018,Hipertensión arterial,2004.00,Cardiovascular
2018,Enf. reumática cardíaca crónica,60.00,Cardiovascular
2018,Anomalías cardiovasculares congénitas,786.00,Congénito
2018,Úlcera péptica,202.00,Digestivo
2018,Colelitiasis y colecistitis,147.00,Digestivo
2018,Hernia abdominal,124.00,Digestivo
2018,Apendicitis,51.00,Digestivo
2018,Diabetes mellitus,501.00,Endócrino/Metabólico
2018,Enfermedades del tiroides,60.00,Endócrino/Metabólico
2018,Accidentes durante atención médica,983.00,Iatrogénico
2018,Septicemia,4274.00,Infecciosas
2018,Tuberculosis y secuelas,490.00,Infecciosas
2018,Infecciones intestinales,53.00,Infecciosas
2018,Tos convulsa,3.00,Infecciosas
2018,Tétanos,2.00,Infecciosas
2018,Muertes perinatales,3029.00,Materno-Perinatal
2018,Muerte materna,294.00,Materno-Perinatal
2018,Ca. colon y recto,4197.00,Neoplasias
2018,Ca. mama,3740.00,Neoplasias
2018,Ca. cuello uterino,1133.00,Neoplasias
2018,Leucemia,453.00,Neoplasias
2018,Ca. testículo,209.00,Neoplasias
2018,Ca. cuerpo uterino,176.00,Neoplasias
2018,Ca. piel (no melanoma),142.00,Neoplasias
2018,Enfermedad de Hodgkin,111.00,Neoplasias
2018,Epilepsia,255.00,Neurológico
2018,Neumonía,9097.00,Respiratorio
2018,Enf. respiratorias excl. neumonía e influenza (1-14),152.00,Respiratorio
2018,Influenza,27.00,Respiratorio
2018,Nefritis y nefrosis,3518.00,Urogenital
2018,Hiperplasia benigna de próstata,16.00,Urogenital
2019,Enfermedad cerebrovascular,7954.00,Cardiovascular
2019,Cardiopatía isquémica (50%),5091.00,Cardiovascular
2019,Hipertensión arterial,2047.00,Cardiovascular
2019,Enf. reumática cardíaca crónica,77.00,Cardiovascular
2019,Anomalías cardiovasculares congénitas,759.00,Congénito
2019,Úlcera péptica,172.00,Digestivo
2019,Colelitiasis y colecistitis,155.00,Digestivo
2019,Hernia abdominal,135.00,Digestivo
2019,Apendicitis,35.00,Digestivo
2019,Diabetes mellitus,459.00,Endócrino/Metabólico
2019,Enfermedades del tiroides,59.00,Endócrino/Metabólico
2019,Accidentes durante atención médica,830.00,Iatrogénico
2019,Septicemia,4486.00,Infecciosas
2019,Tuberculosis y secuelas,459.00,Infecciosas
2019,Infecciones intestinales,69.00,Infecciosas
2019,Tos convulsa,7.00,Infecciosas
2019,Muertes perinatales,2863.00,Materno-Perinatal
2019,Muerte materna,231.00,Materno-Perinatal
2019,Ca. colon y recto,4285.00,Neoplasias
2019,Ca. mama,3801.00,Neoplasias
2019,Ca. cuello uterino,1226.00,Neoplasias
2019,Leucemia,434.00,Neoplasias
2019,Ca. cuerpo uterino,225.00,Neoplasias
2019,Ca. testículo,184.00,Neoplasias
2019,Ca. piel (no melanoma),135.00,Neoplasias
2019,Enfermedad de Hodgkin,133.00,Neoplasias
